"","Mod_Path","ko_id","ko_symbol","ko_name","sub_category","broad_category","mod.path_name"
"17","map00710","K01601","cbbL","ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"18","map00710","K01602","cbbS","ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"19","map00710","K01610","pckA","phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"20","map00710","K01621","xpk","xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"21","map00710","K01623","ALDO","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"22","map00710","K01624","fbaA","fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"23","map00710","K01783","RPE","ribulose-phosphate 3-epimerase [EC:5.1.3.1]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"24","map00710","K01803","tpiA","triosephosphate isomerase (TIM) [EC:5.3.1.1]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"25","map00710","K01807","rpiA","ribose 5-phosphate isomerase A [EC:5.3.1.6]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"26","map00710","K01808","rpiB","ribose 5-phosphate isomerase B [EC:5.3.1.6]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"27","map00710","K02446","glpX","fructose-1,6-bisphosphatase II [EC:3.1.3.11]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"28","map00710","K03841","fbp","fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"29","map00710","K04041","fbp3","fructose-1,6-bisphosphatase III [EC:3.1.3.11]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"30","map00710","K05298","GAPA","glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"31","map00710","K11214","SHPK","sedoheptulokinase [EC:2.7.1.14]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"32","map00710","K11532","SEBP","fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"33","map00710","K11645","fbaB","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"34","map00710","K14272","GGAT","glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"35","map00710","K14454","GOT1","aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"36","map00710","K14455","GOT2","aspartate aminotransferase, mitochondrial [EC:2.6.1.1]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"37","map00860","K00214","bvdR","biliverdin reductase [EC:1.3.1.24]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"38","map00860","K00218","por","protochlorophyllide reductase [EC:1.3.1.33]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"39","map00860","K00228","hemF","coproporphyrinogen III oxidase [EC:1.3.3.3]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"40","map00860","K00230","hemG","menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"41","map00860","K00231","hemY","protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"42","map00860","K00435","hemQ","hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"43","map00860","K00510","HMOX1","heme oxygenase 1 [EC:1.14.14.18]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"44","map00860","K00589","MET1","uroporphyrin-III C-methyltransferase [EC:2.1.1.107]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"45","map00860","K00595","cbiET","precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"46","map00860","K00643","ALAS","5-aminolevulinate synthase [EC:2.3.1.37]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"47","map00860","K00699","UGT","glucuronosyltransferase [EC:2.4.1.17]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"48","map00860","K00768","cobT","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"49","map00860","K00798","pduO","cob(I)alamin adenosyltransferase [EC:2.5.1.17]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"50","map00860","K01195","GUSB","beta-glucuronidase [EC:3.2.1.31]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"51","map00860","K01599","UROD","uroporphyrinogen decarboxylase [EC:4.1.1.37]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"52","map00860","K01698","ALAD","porphobilinogen synthase [EC:4.2.1.24]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"53","map00860","K01719","UROS","uroporphyrinogen-III synthase [EC:4.2.1.75]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"54","map00860","K01749","HMBS","hydroxymethylbilane synthase [EC:2.5.1.61]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"55","map00860","K01764","HCCS","cytochrome c heme-lyase [EC:4.4.1.17]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"56","map00860","K01772","FECH","protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"57","map00860","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"58","map00860","K01885","gltX","glutamyl-tRNA synthetase [EC:6.1.1.17]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"59","map00860","K02188","cbiD","cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"60","map00860","K02189","cbiG","cobalt-precorrin 5A hydrolase [EC:3.7.1.12]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"61","map00860","K02190","cbiK","sirohydrochlorin cobaltochelatase [EC:4.99.1.3]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"62","map00860","K02191","cbiT","cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"63","map00860","K02224","cbiA","cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"64","map00860","K02225","cobC","cobalamin biosynthesis protein CobC","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"65","map00860","K02226","phpB","alpha-ribazole phosphatase [EC:3.1.3.73]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"66","map00860","K02227","cobD","adenosylcobinamide-phosphate synthase [EC:6.3.1.10]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"67","map00860","K02228","cobF","precorrin-6A synthase [EC:2.1.1.152]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"68","map00860","K02229","cobG","precorrin-3B synthase [EC:1.14.13.83]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"69","map00860","K02230","cobN","cobaltochelatase CobN [EC:6.6.1.2]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"70","map00860","K02231","cobU","adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"71","map00860","K02232","cbiP","adenosylcobyric acid synthase [EC:6.3.5.10]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"72","map00860","K02233","cobV","adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"73","map00860","K02257","cyoE","heme o synthase [EC:2.5.1.141]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"74","map00860","K02259","ctaA","heme a synthase [EC:1.17.99.9]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"75","map00860","K02302","cysG","uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"76","map00860","K02303","cobA","uroporphyrin-III C-methyltransferase [EC:2.1.1.107]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"77","map00860","K02304","MET8","precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"78","map00860","K02492","hemA","glutamyl-tRNA reductase [EC:1.2.1.70]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"79","map00860","K02495","hemZ","oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"80","map00860","K02496","hemX","uroporphyrin-III C-methyltransferase [EC:2.1.1.107]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"81","map00860","K03394","cbiL","precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"82","map00860","K03399","cbiE","cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"83","map00860","K03403","bchH","magnesium chelatase subunit H [EC:6.6.1.1]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"84","map00860","K03404","bchD","magnesium chelatase subunit D [EC:6.6.1.1]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"85","map00860","K03405","bchI","magnesium chelatase subunit I [EC:6.6.1.1]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"86","map00860","K03428","chlM","magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"87","map00860","K03594","bfr","bacterioferritin [EC:1.16.3.1]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"88","map00860","K03794","sirB","sirohydrochlorin ferrochelatase [EC:4.99.1.4]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"89","map00860","K03795","cbiX","sirohydrochlorin cobaltochelatase [EC:4.99.1.3]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"90","map00860","K04032","eutT","ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.154]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"91","map00860","K04034","bchE","anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"92","map00860","K04035","chlE","magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"93","map00860","K04036","bchJ","divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"94","map00860","K04037","chlL","light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"95","map00860","K04038","chlN","light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"96","map00860","K04039","chlB","light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"97","map00860","K04040","bchG","chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"98","map00860","K04720","cobD","threonine-phosphate decarboxylase [EC:4.1.1.81]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"99","map00860","K05369","pebA","15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"100","map00860","K05370","pebB","phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"101","map00860","K05371","pcyA","phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"102","map00860","K05895","cbiJ","precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"103","map00860","K05901","BLVRB","biliverdin reductase / flavin reductase [EC:1.3.1.24 1.5.1.30]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"104","map00860","K05934","cbiH","precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"105","map00860","K05936","cbiF","precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"106","map00860","K06042","cbiC","precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"107","map00860","K07145","isdI","heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"108","map00860","K07215","hemO","heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"109","map00860","K07226","hugZ","heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"110","map00860","K08099","14","chlorophyllase [EC:3.1.1.14]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"111","map00860","K08100","5","bilirubin oxidase [EC:1.3.3.5]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"112","map00860","K08101","HY2","phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"113","map00860","K08260","cbiZ","adenosylcobinamide hydrolase [EC:3.5.1.90]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"114","map00860","K08973","hemJ","protoporphyrinogen IX oxidase [EC:1.3.99.-]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"115","map00860","K09882","cobS","cobaltochelatase CobS [EC:6.6.1.2]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"116","map00860","K09883","cobT","cobaltochelatase CobT [EC:6.6.1.2]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"117","map00860","K10960","bchP","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"118","map00860","K11333","bchX","3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"119","map00860","K11334","bchY","3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"120","map00860","K11335","bchZ","3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"121","map00860","K11336","bchF","3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"122","map00860","K11337","bchC","bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"123","map00860","K13071","ACD1","pheophorbide a oxygenase [EC:1.14.15.17]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"124","map00860","K13540","cobIJ","precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"125","map00860","K13541","cobJ","cobalt-precorrin 5A hydrolase / cobalt-factor III methyltransferase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.272 2.1.1.131]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"126","map00860","K13542","hemD","uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"127","map00860","K13543","hemDX","uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"128","map00860","K13544","MES16","pheophorbidase [EC:3.1.1.82]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"129","map00860","K13545","ACD2","red chlorophyll catabolite reductase [EC:1.3.7.12]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"130","map00860","K13600","CAO","chlorophyllide a oxygenase [EC:1.14.13.122]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"131","map00860","K13601","bchQ","bacteriochlorophyllide d C-8(2)-methyltransferase [EC:2.1.1.332]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"132","map00860","K13602","bchR","bacteriochlorophyllide d C-12(1)-methyltransferase [EC:2.1.1.331]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"133","map00860","K13603","bchV","3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.169]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"134","map00860","K13604","bchU","bacteriochlorophyllide d C-20 methyltransferase [EC:2.1.1.333]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"135","map00860","K13605","bchK","bacteriochlorophyll c synthase [EC:2.5.1.-]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"136","map00860","K13606","NYC1","chlorophyll(ide) b reductase [EC:1.1.1.294]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"137","map00860","K13624","CP","ceruloplasmin [EC:1.16.3.1]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"138","map00860","K13786","cobR","cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"139","map00860","K14163","EPRS","bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"140","map00860","K14735","HEPH","hephaestin [EC:1.16.3.1]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"141","map00860","K16651","pduX","L-threonine kinase [EC:2.7.1.177]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"142","map00860","K18010","HCAR","7-hydroxymethyl chlorophyll a reductase [EC:1.17.7.2]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"143","map00860","K19054","FXN","frataxin [EC:1.16.3.1]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"144","map00860","K19073","DVR","divinyl chlorophyllide a 8-vinyl-reductase [EC:1.3.1.75]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"145","map00860","K19221","btuR","cob(I)alamin adenosyltransferase [EC:2.5.1.17]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"146","map00860","K19712","cobY","adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"147","map00860","K21058","bciC","chlorophyllide a hydrolase [EC:3.1.1.100]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"148","map00860","K21231","bciB","3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin) [EC:1.3.7.13]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"149","map00860","K21312","bciD","bacteriochlorophyllide c C-7(1)-hydroxylase [EC:1.17.98.2]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"150","map00860","K21418","HMOX2","heme oxygenase 2 [EC:1.14.14.18]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"151","map00860","K21479","cbiH60","cobalt-factor III methyltransferase [EC:2.1.1.272]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"152","map00860","K21480","hmuO","heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"153","map00860","K21610","cfbC","Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbC [EC:6.3.3.7]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"154","map00860","K21611","cfbD","Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbD [EC:6.3.3.7]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"155","map00860","K21612","cfbE","coenzyme F430 synthetase [EC:6.4.1.9]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"156","map00860","K21796","pebS","Prochlorococcus phage phycoerythrobilin synthase [EC:1.3.7.6]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"157","map00860","K22011","cfbA","sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
"158","map00860","K22012","cfbB","Ni-sirohydrochlorin a,c-diamide synthase [EC:6.3.5.12]","Prophyrin and chlorophyll metabolism","photosynthesis","Porphyrin metabolism"
